Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Nonsocial,,START,660.267,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,19809,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Nonsocial,,STOP,673.633,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20210,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Prosocial,,START,673.633,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20210,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Nonsocial,,START,678.3,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20350,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Prosocial,,STOP,678.3,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20350,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Nonsocial,,STOP,685.667,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20571,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Prosocial,,START,685.667,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20571,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Nonsocial,,START,690.633,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20720,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Prosocial,,STOP,690.633,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20720,,
4034 4030 cagemates,2023-07-27 12:56:07,,1883.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,2543.767,30.0,Fiber1,Nonsocial,,STOP,695.633,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Cagemates/Cagemates_4034_4030/video2021-04-21T16_23_30.avi,20870,,
