Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,START,714.033,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21422,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,STOP,723.7,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21712,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Prosocial,,START,723.7,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21712,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,START,725.567,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21768,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Prosocial,,STOP,725.567,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21768,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,STOP,727.667,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21831,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Prosocial,,START,727.667,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21831,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,START,730.833,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21926,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Prosocial,,STOP,730.833,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,21926,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,STOP,738.767,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22164,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Prosocial,,START,738.767,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22164,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,START,740.1,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22204,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Prosocial,,STOP,740.1,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22204,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,STOP,745.467,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22365,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Prosocial,,START,745.467,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22365,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,START,745.933,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22379,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Prosocial,,STOP,745.933,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22379,,
4034 bonding partner,2023-07-27 12:52:02,,2038.167,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,2752.233,30.0,Fiber1,Nonsocial,,STOP,747.9,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Post Bonding/Bonded_Partners_4039_4034_Partners_4040_3661/video1_2021-05-10T16_40_23.avi,22438,,
